station,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
71032,1.202,0.723,0.795,2.052,0.723,0.837,0.78,0.395,0.827,1.173,1.44,0.813,1.22,0.741,0.813
71075,2.087,0.879,3.422,2.094,2.53,1.994,0.894,2.565,2.552,4.725,1.885,6.605,2.071,0.863,3.406
72161,15.6,14.45,16.043,14.922,15.265,14.479,14.372,15.056,15.296,16.803,15.709,19.076,16.489,15.339,16.932
83024,1.483,2.155,3.976,2.733,2.97,1.997,0.927,2.917,2.59,3.07,3.017,4.777,1.462,2.134,3.955
83084,3.016,2.244,4.416,2.502,2.809,3.094,3.23,2.922,2.682,3.402,2.722,4.668,3.176,2.405,4.576
83085,1.937,3.745,2.737,1.852,1.63,2.673,2.095,2.12,2.153,3.293,2.667,4.813,2.102,3.91,2.902
85291,2.462,2.169,3.327,3.712,2.462,4.427,5.655,3.258,3.711,3.431,1.838,5.478,2.509,2.216,3.374
